Ticker,Avg Volume,IV30/RV30,TS Slope,Expected Move,Earnings Time
IOT,2933421.3333333335,1.5553295177063091,-0.032482961251395076,12.06%,Post Market
RBRK,2496472.1333333333,1.8798862678813262,-0.009567154266245633,17.4%,Post Market
WOOF,3653937.3,2.026567819222697,-0.012241593253968246,23.48%,Post Market
DOCU,1979315.6666666667,1.4345058617465647,-0.025792522361061786,9.69%,Post Market
LULU,1818777.7,1.3567478901183934,-0.02230153309735385,8.77%,Post Market
